,Description of expenditures,Line number,Amount,Org,Year
0,Advertising and promotion,4800.0,20864,IRPP,2013
1,Travel and vehicle expenses,4810.0,122266,IRPP,2013
2,Interest and bank charges,4820.0,10619,IRPP,2013
3,"Licenses, memberships, and dues",4830.0,1626,IRPP,2013
4,Office supplies and expenses,4840.0,74337,IRPP,2013
5,Occupancy costs,4850.0,204969,IRPP,2013
6,Professional and consulting fees,4860.0,328200,IRPP,2013
7,Education and training for staff and volunteers,4870.0,3746,IRPP,2013
8,"Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable)",4880.0,1342249,IRPP,2013
9,Fair market value of all donated goods used in charitable activities,4890.0,,IRPP,2013
10,Purchased supplies and assets,4891.0,,IRPP,2013
11,Amortization of capitalized assets,4900.0,11720,IRPP,2013
12,Research grants and scholarships as part of charitable activities,4910.0,1500,IRPP,2013
13,All other expenditures not included in the amounts above (excluding gifts to qualified donees),4920.0,422399,IRPP,2013
14,Total expenditures before gifts to qualified donees (add lines 4800 to 4920),4950.0,2544495,IRPP,2013
15,Of the amounts at lines 4950 and 5031 (reported at C5 Political Activities (c)):,,,IRPP,2013
16,Total expenditures on charitable activities,5000.0,2279748,IRPP,2013
17,Total expenditures on management and administration,5010.0,264747,IRPP,2013
18,Total expenditures on fundraising,5020.0,,IRPP,2013
19,"Total expenditures on political activities, inside or outside Canada, from question C5 (b)",5030.0,,IRPP,2013
20,Total other expenditures included in line 4950,5040.0,,IRPP,2013
21,Total amount of gifts made to all qualified donees,5050.0,,IRPP,2013
22,Total expenditures (add lines 4950 and 5050),5100.0,2544495,IRPP,2013
