,Description of revenue,Line number,Amount,Org,Year
0,Total eligible amount of all gifts for which the charity issued tax receipts,4500,30165,IRPP,2014
1,Total eligible amount of tax-receipted tuition fees,5610,,IRPP,2014
2,Total amount of 10 year gifts received,4505,,IRPP,2014
3,Total amount received from other registered charities,4510,,IRPP,2014
4,Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630),4530,,IRPP,2014
5,Total revenue received from federal government,4540,5000,IRPP,2014
6,Total revenue received from provincial/​territorial governments,4550,40000,IRPP,2014
7,Total revenue received from municipal/​regional governments,4560,,IRPP,2014
8,Total tax-receipted revenue from all sources outside of Canada (government and non-government),4571,,IRPP,2014
9,Total non tax-receipted revenue from all sources outside Canada (government and non-government),4575,,IRPP,2014
10,Total interest and investment income received or earned,4580,1112099,IRPP,2014
11,Gross proceeds from disposition of assets,4590,8805074,IRPP,2014
12,Net proceeds from disposition of assets (show a negative amount with brackets),4600,4861666,IRPP,2014
13,Gross income received from rental of land and/or buildings,4610,,IRPP,2014
14,"Total non tax-receipted revenues received for memberships, dues and association fees",4620,,IRPP,2014
15,Total non tax-receipted revenue from fundraising,4630,29000,IRPP,2014
16,Total revenue from sale of goods and services (except to any level of government in Canada),4640,105104,IRPP,2014
17,Other revenue not already included in the amounts above,4650,170671,IRPP,2014
18,"Total revenue (add lines 4500, 4510 to 4560, 4575, 4580, and 4600 to 4650)",4700,6353705,IRPP,2014
